interactant_id,polypeptide_id
BE0002240,P15104
BE0000529,P17174
BE0000692,P17735
BE0000667,P24298
BE0000403,P38435
BE0001115,P43003
BE0000884,P43004
BE0001054,P43005
BE0000166,P48506
BE0002270,P48664
BE0000755,P49448
BE0000321,P49915
BE0000517,P54687
BE0000253,P80404
BE0000365,Q05586
BE0000700,Q05932
BE0002271,Q07075
BE0000760,Q12879
BE0000417,Q13224
BE0000454,Q14957
BE0002272,Q5JPH6
BE0002244,Q6IA69
BE0002274,Q8N159
BE0000727,Q8N5Z0
BE0000641,Q8TCU5
BE0002166,Q8TD30
BE0000073,Q9UDR5
BE0000003,Q9UI32
BE0002277,Q9ULA0
BE0000030,Q9UPY5
BE0004640,Q9Y646
BE0000603,Q9Y617
BE0000180,P00367
BE0000346,P39086
BE0000640,P42261
BE0000606,P48507
BE0000568,Q04609
BE0000602,Q05329
BE0000378,Q99259
BE0000822,O95954
BE0000829,P42262
BE0000831,P42263
BE0000830,P48058
BE0000823,P54886
BE0000826,Q13002
BE0000832,Q13003
BE0010222,P17174
BE0010222,P00505
BE0003654,Q8TF71
BE0000669,P53985
BE0002275,Q9H1K4
BE0002276,Q9H936
BE0000747,P15121
BE0000761,P20839
BE0000058,P14780
BE0002638,P08684
BE0009997,O75715
BE0009997,P07203
BE0009997,P18283
BE0009997,P22352
BE0009997,P59796
BE0009997,Q96SL4
BE0009997,P36969
BE0009997,Q8TED1
BE0000648,P00390
BE0000185,P48637
BE0000807,P09488
BE0000808,Q9Y2Q3
BE0000809,Q16772
BE0000810,P21266
BE0000811,O15217
BE0000812,Q03013
BE0000813,Q7RTV2
BE0000814,P09211
BE0000815,P78417
BE0000816,P07203
BE0000817,P18283
BE0000818,P30711
BE0000819,O43708
BE0000820,O75715
BE0000821,P22352
BE0000962,Q04760
BE0001117,Q16873
BE0002279,O14880
BE0001167,O60760
BE0002281,P08263
BE0002189,P09210
BE0002282,P10620
BE0002283,P10768
BE0000889,P19440
BE0001189,P28161
BE0002284,P35754
BE0001135,P36969
BE0002285,P46439
BE0002286,P59796
BE0001825,Q16775
BE0002287,Q6NSD4
BE0002289,Q96SL4
BE0002290,Q99735
BE0002291,Q9H4Y5
BE0002292,Q9NS18
BE0002189,P09210
BE0002281,P08263
BE0000785,P33527
BE0001069,Q92887
BE0001061,O15438
BE0001188,O15439
BE0003639,O15440
BE0000673,Q9UG56
BE0000189,Q8WTV0
BE0001132,P17252
BE0001099,P48651
BE0002296,P49619
BE0002297,Q16760
BE0002299,Q9BVG9
BE0002300,Q9NXE4
BE0002301,Q9NY59
BE0001001,Q9Y2Q0
BE0000760,Q12879
BE0000518,O75600
BE0000409,P13196
BE0000898,P22557
BE0000998,P41250
BE0002303,Q14032
BE0002304,Q14330
BE0000185,P48637
BE0000454,Q14957
BE0002154,Q53ET4
BE0002305,Q6IB77
BE0000292,P34897
BE0002306,Q8WU03
BE0002307,Q969I3
BE0000102,Q9BYV1
BE0002309,Q9P0Z9
BE0000534,O60391
BE0000433,P23415
BE0000316,P21549
BE0000055,P48167
BE0000331,P34896
BE0000414,O75311
BE0000745,P23416
BE0000372,Q14749
BE0000347,P50440
BE0000010,P48728
BE0000618,P23378
BE0000737,P09622
BE0002302,P23434
BE0003654,Q8TF71
BE0000536,Q7Z2H8
BE0002308,Q9H598
BE0002310,Q9Y345
BE0000940,P48067
BE0000779,P11473
BE0000443,O15528
BE0002250,Q07973
BE0000042,O00764
BE0000714,P06732
BE0000171,P12532
BE0000082,P12277
BE0000410,P17540
BE0000567,Q14353
BE0000106,O76082
BE0000375,P48029
BE0000204,Q15031
BE0000613,O60294
BE0000450,Q9UIC8
BE0000769,Q9P2J5
BE0000721,O15382
BE0000517,P54687
BE0003654,Q8TF71
BE0000178,P36021
BE0000693,P14902
BE0000228,P23381
BE0001343,P00953
BE0002311,Q9UGM6
BE0001343,P00953
BE0002311,Q9UGM6
