salt_id,drugbank_id,name,unii,cas_number,inchikey,average_mass,monoisotopic_mass
DBSALT000017,DB04890,Bepotastine besilate,6W18MO1QR3,190786-44-8,UDGHXQPQKQPSBB-BOXHHOBZSA-N,547.063,546.159135131
DBSALT000119,DB04896,Milnacipran hydrochloride,RNZ43O5WW5,101152-94-7,XNCDYJFPRPDERF-UHFFFAOYSA-N,282.81,282.1498911
DBSALT001321,DB04908,Flibanserin hydrochloride,96XTC36K1B,147359-76-0,XGAGFLQFMFCIHZ-UHFFFAOYSA-N,426.87,426.1434235
DBSALT001350,DB04911,Oritavancin diphosphate,VL1P93MKZN,192564-14-0,PWTROOMOPLCZHB-BHYQHFGMSA-N,1989.1,1986.5178975
DBSALT003139,DB04931,Afamelanotide acetate,1XCC161YKC,1566590-77-9,VHLLBJXKNRAYGM-BHHWPIKXSA-N,1827.03,1825.899898545
DBSALT001719,DB04932,Defibrotide sodium,L7CHH2B2J0,,,,
DBSALT000829,DB04948,Lofexidine hydrochloride,V47G1SDI1B,21498-08-8,DWWHMKBNNNZGHF-UHFFFAOYSA-N,295.593,294.009346169
DBSALT000828,DB05018,Migalastat hydrochloride,CLY7M0XD20,75172-81-5,ZJIHMALTJRDNQI-OLALXQGDSA-N,199.633,199.061135648
DBSALT001870,DB05025,Arimoclomol citrate,Q85FFY6179,368860-21-3,XSENLDLUMVYRET-BTQNPOSSSA-N,505.91,505.1463218
DBSALT001869,DB05025,Arimoclomol maleate,18D1V854HG,289893-26-1,OHUSJUJCPWMZKR-FEGZNKODSA-N,429.85,429.1302778
DBSALT003032,DB05039,Indacaterol acetate,RYI4401DTM,1000160-96-2,HZHXFIDENGBQFQ-FTBISJDPSA-N,452.551,452.231122138
DBSALT000101,DB05039,Indacaterol maleate,2JEC1ITX7R,753498-25-8,IREJFXIHXRZFER-PCBAQXHCSA-N,508.5629,508.220951388
DBSALT001290,DB05239,Cobimetinib fumarate,6EXI96H8SV,1369665-02-0,RESIMIUSNACMNW-BXRWSSRYSA-N,1178.707,1178.13707
DBSALT002719,DB05259,Glatiramer acetate,5M691HL4BO,147245-92-9,,,
DBSALT001854,DB05260,Gallium nitrate nonahydrate,VRA0C6810N,135886-70-3,GOMSPTBXILHTSG-UHFFFAOYSA-N,417.87,416.98411
DBSALT000155,DB05271,Rotigotine hydrochloride,6Q1W9573L2,125572-93-2,CEXBONHIOKGWNU-NTISSMGPSA-N,351.934,351.142362856
DBSALT002635,DB05273,Samarium (153Sm) lexidronam pentasodium,7389YR3OOV,176669-18-4,SZZACTGRBZTAKY-NKNBZPHVSA-F,695.93,695.80501213
DBSALT001266,DB05316,Pimavanserin tartrate,NA83F1SJSR,706782-28-7,RGSULKHNAKTFIZ-CEAXSRTFSA-N,1005.1964,1004.543449028
DBSALT003494,DB05351,Dexlansoprazole sesquihydrate,HS2S9VK3NH,313640-86-7,XTQWZVSRVXCIGB-BBBDYAHLSA-N,792.77,792.183458785
DBSALT002193,DB05381,Histamine dihydrochloride,3POA0Q644U,56-92-8,PPZMYIBUHIPZOS-UHFFFAOYSA-N,184.067,183.033002781
DBSALT002194,DB05381,Histamine phosphate,QWB37T4WZZ,51-74-1,ZHIBQGJKHVBLJJ-UHFFFAOYSA-N,307.1354,307.033437495
DBSALT000120,DB05528,Mipomersen sodium,18EAY4870E,629167-92-6,OSGPYAHSKOGBFY-KMHHXCEHSA-A,7594.76,7589.74862332
DBSALT001173,DB05812,Abiraterone acetate,EM5OCB9YJ6,154229-18-2,UVIQSJCZCSLXRZ-UBUQANBQSA-N,391.555,391.251129307
DBSALT001260,DB06016,Cariprazine hydrochloride,KQD7C255YG,1083076-69-0,GPPJWWMREQHLQT-BHQIMSFRSA-N,463.87,462.1719948
DBSALT001873,DB06077,Lumateperone tosylate,JIE88N006O,1187020-80-9,LHAPOGAFBLSJJQ-GUTACTQSSA-N,565.7,565.241055988
DBSALT000848,DB06147,Sulfathiazole sodium,PV16N742VM,144-74-1,IMPWUOJNMQNKON-UHFFFAOYSA-N,279.314,279.011212634
DBSALT000957,DB06148,Mianserin hydrochloride,2X03TN217S,21535-47-7,YNPFMWCWRVTGKJ-UHFFFAOYSA-N,300.83,300.1393264
DBSALT000956,DB06150,Sulfadimethoxine sodium,49DG2B481W,1037-50-9,DQDZQHMCPDUUPC-UHFFFAOYSA-N,332.31,332.05552037
DBSALT001140,DB06152,Nylidrin hydrochloride,EC69E3PW7E,849-55-8,CLJHABUMMDMAFA-UHFFFAOYSA-N,335.87,335.1652068
DBSALT003065,DB06153,Pizotifen malate,99O99YVR4C,5189-11-7,IWAWCPZVTXCFKD-UHFFFAOYSA-N,429.53,429.160994147
DBSALT001850,DB06155,Rimonabant hydrochloride,HL0V2LQZ09,158681-13-1,REOYOKXLUFHOBV-UHFFFAOYSA-N,500.25,498.0547721
DBSALT001995,DB06174,Noscapine hydrochloride,TTN62ITH9I,912-60-7,MFLVZFXCSKVCSH-URBRKQAFSA-N,449.88,449.1241298
DBSALT000141,DB06193,Pixantrone dimaleate,P0R64C4CR9,144675-97-8,SVAGFBGXEWPNJC-SPIKMXEPSA-N,557.5094,557.175792109
DBSALT000097,DB06196,Icatibant acetate,325O8467XK,138614-30-9,HKMZRZUEADSZDQ-DZJWSCHMSA-N,1364.59,1363.681924545
DBSALT001999,DB06199,Atrasentan hydrochloride,E4G31X93ZA,195733-43-8,IJFUJIFSUKPWCZ-SQMFDTLJSA-N,547.09,546.2496647
DBSALT001954,DB06202,Lasofoxifene hydrochloride,UEY1KQM2MR,180915-85-9,SFWYWKVSAHDQRB-HBYDGSNJSA-N,450.02,449.212157
DBSALT001953,DB06202,Lasofoxifene tartrate,85X09V2GSO,190791-29-8,INEHJXCWEVNEDZ-LUDNRVPPSA-N,563.647,563.251917155
DBSALT000007,DB06203,Alogliptin benzoate,EEN99869SC,850649-62-6,KEJICOXJTRHYAK-XFULWGLBSA-N,461.513,461.206304377
DBSALT000169,DB06204,Tapentadol hydrochloride,71204KII53,175591-09-0,ZELFLGGRLLOERW-YECZQDJWSA-N,257.799,257.154642102
