ref_pk,drugbank_id,interactant_id
417,DB00039,BE0000748
418,DB00039,BE0000748
419,DB00039,BE0000748
420,DB00039,BE0000748
421,DB00039,BE0000748
422,DB00039,BE0000748
17,DB00039,BE0000748
413,DB00039,BE0000748
415,DB00039,BE0000748
423,DB00039,BE0002131
424,DB00039,BE0002131
425,DB00039,BE0002131
426,DB00039,BE0002131
427,DB00039,BE0002131
413,DB00039,BE0002131
421,DB00039,BE0001031
428,DB00039,BE0001031
429,DB00039,BE0001031
430,DB00039,BE0001031
431,DB00039,BE0001031
432,DB00040,
433,DB00040,
434,DB00040,
435,DB00040,
436,DB00040,
437,DB00040,
438,DB00040,
439,DB00040,
440,DB00040,
441,DB00040,
442,DB00040,BE0000527
443,DB00040,BE0000527
444,DB00040,BE0000527
445,DB00040,BE0000527
446,DB00040,BE0000527
17,DB00040,BE0000527
447,DB00040,BE0000527
448,DB00040,BE0000527
449,DB00040,BE0000527
450,DB00040,BE0002134
451,DB00040,BE0002134
452,DB00040,BE0002134
448,DB00040,BE0002134
453,DB00040,BE0000857
454,DB00040,BE0000857
445,DB00040,BE0000857
448,DB00040,BE0000857
455,DB00041,
456,DB00041,BE0000651
457,DB00041,BE0000651
458,DB00041,BE0000651
459,DB00041,BE0000651
460,DB00041,BE0000651
17,DB00041,BE0000651
461,DB00041,BE0000658
462,DB00041,BE0000658
463,DB00041,BE0000658
464,DB00041,BE0000658
465,DB00041,BE0000658
17,DB00041,BE0000658
466,DB00041,BE0000658
456,DB00041,BE0002102
467,DB00041,BE0002102
468,DB00041,BE0002102
469,DB00041,BE0002102
470,DB00041,BE0002102
16,DB00041,BE0001029
471,DB00041,BE0000262
472,DB00041,BE0000262
473,DB00041,BE0000657
474,DB00041,BE0002638
475,DB00041,BE0002638
476,DB00041,BE0002204
474,DB00041,BE0003533
477,DB00042,
478,DB00042,
479,DB00042,
480,DB00042,
481,DB00042,
482,DB00042,BE0002137
17,DB00042,BE0002137
17,DB00042,BE0002136
483,DB00042,BE0002138
484,DB00043,
485,DB00043,
486,DB00043,
487,DB00043,
488,DB00043,
489,DB00043,
490,DB00043,
491,DB00043,
488,DB00043,BE0010138
484,DB00043,BE0010138
489,DB00043,BE0010138
16,DB00043,BE0000049
492,DB00044,
493,DB00044,
494,DB00044,
495,DB00044,
496,DB00044,
495,DB00044,BE0000134
17,DB00044,BE0000134
497,DB00045,BE0001164
498,DB00046,
499,DB00046,
500,DB00046,
501,DB00046,
502,DB00046,
503,DB00046,
504,DB00046,
505,DB00046,
506,DB00046,
507,DB00046,
508,DB00046,
17,DB00046,BE0000033
509,DB00046,BE0000033
510,DB00046,BE0000033
511,DB00046,BE0000033
328,DB00046,BE0000033
331,DB00046,BE0000858
332,DB00046,BE0000858
333,DB00046,BE0000858
343,DB00046,BE0002433
344,DB00046,BE0002433
345,DB00046,BE0002433
512,DB00046,BE0001183
513,DB00047,
514,DB00047,
515,DB00047,
516,DB00047,
517,DB00047,
518,DB00047,
318,DB00047,
519,DB00047,
520,DB00047,
521,DB00047,
522,DB00047,
523,DB00047,
524,DB00047,
525,DB00047,
526,DB00047,
17,DB00047,BE0000033
527,DB00047,BE0000033
511,DB00047,BE0000033
528,DB00047,BE0000033
16,DB00047,BE0003491
331,DB00047,BE0000858
529,DB00047,BE0000858
527,DB00047,BE0000858
343,DB00047,BE0002433
344,DB00047,BE0002433
345,DB00047,BE0002433
530,DB00048,
531,DB00048,
532,DB00048,
533,DB00048,
534,DB00048,
535,DB00048,
536,DB00048,
537,DB00048,
538,DB00048,
539,DB00048,
540,DB00048,
541,DB00048,
542,DB00048,
543,DB00048,
544,DB00048,
545,DB00048,BE0000025
546,DB00048,BE0000025
547,DB00048,BE0000025
548,DB00048,BE0000025
549,DB00048,BE0000025
550,DB00048,BE0002140
551,DB00048,BE0002140
552,DB00048,BE0002140
553,DB00048,BE0002140
554,DB00048,BE0002140
555,DB00048,BE0002130
556,DB00049,
557,DB00049,
558,DB00049,BE0004823
559,DB00049,BE0004823
560,DB00049,BE0004823
557,DB00049,BE0004823
561,DB00050,BE0000203
562,DB00050,BE0000203
563,DB00050,BE0000203
564,DB00050,BE0000203
101,DB00050,BE0000203
17,DB00050,BE0000203
16,DB00050,BE0000203
565,DB00051,
566,DB00051,
567,DB00051,
568,DB00051,
569,DB00051,
570,DB00051,
22,DB00051,
571,DB00051,
572,DB00051,
573,DB00051,
574,DB00051,
575,DB00051,
576,DB00051,
577,DB00051,
578,DB00051,
579,DB00051,
580,DB00051,
581,DB00051,
582,DB00051,
583,DB00051,
584,DB00051,
585,DB00051,
586,DB00051,
587,DB00051,
588,DB00051,
589,DB00051,
590,DB00051,
591,DB00051,
592,DB00051,
593,DB00051,
594,DB00051,
595,DB00051,
596,DB00051,
597,DB00051,
598,DB00051,BE0000704
599,DB00051,BE0000704
600,DB00051,BE0000704
601,DB00051,BE0000704
602,DB00051,BE0000704
603,DB00052,
604,DB00052,
605,DB00052,
606,DB00052,
607,DB00052,
608,DB00052,
609,DB00052,
610,DB00052,
611,DB00052,
612,DB00052,
613,DB00052,
614,DB00052,
615,DB00052,
616,DB00052,
