reaction_id,drugbank_id,sequence,left_element_id,left_element_name,right_element_id,right_element_name,enzymes
3481,DB11660,2,DBMET02011,Butanediol mononitrate,DB01955,"1,4-Butanediol",BE0002281|Glutathione S-transferase A1|P08263
3482,DB11660,2,DBMET02011,Butanediol mononitrate,DBMET01480,Nitric Oxide,BE0002281|Glutathione S-transferase A1|P08263
3483,DB11660,2,DB00654,Latanoprost,DBMET02014,"1,2 dinor latanoprost acid","BE0001745|Medium-chain specific acyl-CoA dehydrogenase, mitochondrial|P11310||BE0004521|3-ketoacyl-CoA thiolase, peroxisomal|P09110||BE0004500|Enoyl-CoA hydratase, mitochondrial|P30084||BE0000377|Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial|Q16836"
3484,DB11660,2,DB00654,Latanoprost,DBMET02015,"1,2,3,4-tetranor latanoprost acid","BE0001745|Medium-chain specific acyl-CoA dehydrogenase, mitochondrial|P11310||BE0004521|3-ketoacyl-CoA thiolase, peroxisomal|P09110||BE0004500|Enoyl-CoA hydratase, mitochondrial|P30084||BE0000377|Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial|Q16836"
3485,DB11660,3,DB01955,"1,4-Butanediol",DB01440,gamma-Hydroxybutyric acid,BE0000227|Alcohol dehydrogenase 1A|P07327||BE0000400|All-trans-retinol dehydrogenase [NAD(+)] ADH1B|P00325||BE0000465|Alcohol dehydrogenase 1C|P00326
3486,DB11660,4,DB01440,gamma-Hydroxybutyric acid,DBMET01477,Succinic Acid,BE0000227|Alcohol dehydrogenase 1A|P07327||BE0000400|All-trans-retinol dehydrogenase [NAD(+)] ADH1B|P00325||BE0000465|Alcohol dehydrogenase 1C|P00326
3487,DB11672,1,DB11672,Curcumin,DBMET01640,O-demethyl curcumin,BE0002363|Cytochrome P450 2D6|P10635
3488,DB11677,1,DB11677,Triheptanoin,DBMET03172,Heptanoate,
3489,DB11677,2,DBMET03172,Heptanoate,DBMET03173,β-hydroxypentanoate,
3490,DB11677,2,DBMET03172,Heptanoate,DBMET03174,β-hydroxybutyrate,
3491,DB11677,2,DBMET03172,Heptanoate,DBMET03175,Acetyl Coenzyme A,
3492,DB11677,2,DBMET03172,Heptanoate,DBMET03176,Propionyl Coenzyme A,
3493,DB11677,3,DBMET03176,Propionyl Coenzyme A,DBMET03177,Succinyl Coenzyme A,
3494,DB11678,1,DB11678,Treosulfan,DBMET03791,"(2S,3S)-1,2-epoxybutane-3,4-diol-4-methanesulfonate",
3495,DB11678,2,DBMET03791,"(2S,3S)-1,2-epoxybutane-3,4-diol-4-methanesulfonate",DBMET03792,"(2S,3S)-1,2:3,4-diepoxybutane",
3496,DB11682,1,DB11682,Daprodustat,DBMET03602,Daprodustat M2 metabolite,BE0002887|Cytochrome P450 2C8|P10632||BE0002638|Cytochrome P450 3A4|P08684
3497,DB11682,1,DB11682,Daprodustat,DBMET03604,Daprodustat M6 metabolite,BE0002887|Cytochrome P450 2C8|P10632||BE0002638|Cytochrome P450 3A4|P08684
3498,DB11682,1,DB11682,Daprodustat,DBMET03606,Daprodustat M3 metabolite,BE0002887|Cytochrome P450 2C8|P10632||BE0002638|Cytochrome P450 3A4|P08684
3499,DB11682,1,DB11682,Daprodustat,DBMET03607,Daprodustat M5 metabolite,BE0002887|Cytochrome P450 2C8|P10632||BE0002638|Cytochrome P450 3A4|P08684
3500,DB11682,2,DBMET03602,Daprodustat M2 metabolite,DBMET03603,Daprodustat M13 metabolite,BE0002887|Cytochrome P450 2C8|P10632||BE0002638|Cytochrome P450 3A4|P08684
3501,DB11682,2,DBMET03604,Daprodustat M6 metabolite,DBMET03605,Daprodustat M4 metabolite,BE0002887|Cytochrome P450 2C8|P10632||BE0002638|Cytochrome P450 3A4|P08684
3502,DB11682,3,DBMET03605,Daprodustat M4 metabolite,DBMET03603,Daprodustat M13 metabolite,BE0002887|Cytochrome P450 2C8|P10632||BE0002638|Cytochrome P450 3A4|P08684
3503,DB11689,1,DB11689,Selumetinib,DBMET03099,M15 (AZ13326637),
3504,DB11689,1,DB11689,Selumetinib,DBMET03100,M14 (AZ12791138),
3505,DB11689,1,DB11689,Selumetinib,DBMET03102,M8 (N-desmethyl selumetinib),BE0003536|Cytochrome P450 2C19|P33261||BE0002793|Cytochrome P450 2C9|P11712||BE0002887|Cytochrome P450 2C8|P10632||BE0002433|Cytochrome P450 1A2|P05177||BE0003336|Cytochrome P450 2A6|P11509
3506,DB11689,1,DB11689,Selumetinib,DBMET03107,M4 (glucuronidated selumetinib),
3507,DB11689,1,DB11689,Selumetinib,DBMET03108,M7 (glucuronidated selumetinib),
3508,DB11689,2,DBMET03100,M14 (AZ12791138),DBMET03099,M15 (AZ13326637),
3509,DB11689,2,DBMET03100,M14 (AZ12791138),DBMET03101,"M12 (Primary amide, N-demethylated selumetinib metabolite)",
3510,DB11689,2,DBMET03102,M8 (N-desmethyl selumetinib),DBMET03101,"M12 (Primary amide, N-demethylated selumetinib metabolite)",
3511,DB11689,2,DBMET03102,M8 (N-desmethyl selumetinib),DBMET03103,M11 (N-demethylated carboxylic acid selumetinib metabolite),
3512,DB11689,2,DBMET03102,M8 (N-desmethyl selumetinib),DBMET03104,M3 (glucuronidated N-desmethyl selumetinib),
3513,DB11689,2,DBMET03102,M8 (N-desmethyl selumetinib),DBMET03105,M5 (glucuronidated N-desmethyl selumetinib),
3514,DB11689,2,DBMET03100,M14 (AZ12791138),DBMET03109,M2 (amide glucuronide selumetinib metabolite),
3515,DB11689,3,DBMET03101,"M12 (Primary amide, N-demethylated selumetinib metabolite)",DBMET03110,M9 (ribose conjugated selumetinib metabolite),
3516,DB11689,3,DBMET03101,"M12 (Primary amide, N-demethylated selumetinib metabolite)",DBMET03110,M9 (ribose conjugated selumetinib metabolite),
3517,DB11689,3,DBMET03101,"M12 (Primary amide, N-demethylated selumetinib metabolite)",DBMET03111,"M13 (Primary amide, N-demethylated, mono-oxidized selumetinib metabolite)",
3518,DB11689,3,DBMET03101,"M12 (Primary amide, N-demethylated selumetinib metabolite)",DBMET03111,"M13 (Primary amide, N-demethylated, mono-oxidized selumetinib metabolite)",
3519,DB11689,3,DBMET03101,"M12 (Primary amide, N-demethylated selumetinib metabolite)",DBMET03112,M10 selumetinib metabolite,
3520,DB11689,3,DBMET03101,"M12 (Primary amide, N-demethylated selumetinib metabolite)",DBMET03112,M10 selumetinib metabolite,
3521,DB11689,3,DBMET03109,M2 (amide glucuronide selumetinib metabolite),DBMET03113,M6 selumetinib metabolite,
3522,DB11689,3,DBMET03109,M2 (amide glucuronide selumetinib metabolite),DBMET03114,M1 selumetinib metabolite,
3523,DB11689,4,DBMET03112,M10 selumetinib metabolite,DBMET03114,M1 selumetinib metabolite,
3524,DB11689,4,DBMET03112,M10 selumetinib metabolite,DBMET03114,M1 selumetinib metabolite,
3525,DB11697,1,DB11697,Pacritinib,DBMET03435,Pacritinib M1 metabolite,BE0002638|Cytochrome P450 3A4|P08684
3526,DB11697,1,DB11697,Pacritinib,DBMET03436,Pacritinib M2 metabolite,BE0002638|Cytochrome P450 3A4|P08684
3527,DB11697,1,DB11697,Pacritinib,DBMET03437,Pacritinib M3 metabolite,BE0002638|Cytochrome P450 3A4|P08684
3528,DB11697,1,DB11697,Pacritinib,DBMET03438,Pacritinib M4 metabolite,BE0002638|Cytochrome P450 3A4|P08684
3529,DB11703,1,DB11703,Acalabrutinib,DBMET02878,Acalabrutinib M27 Metabolite (ACP-5862),
3530,DB11703,1,DB11703,Acalabrutinib,DBMET02881,Acalabrutinib M2 Metabolite,
3531,DB11703,1,DB11703,Acalabrutinib,DBMET02882,Acalabrutinib M23 Metabolite (ACP-5134),
3532,DB11703,1,DB11703,Acalabrutinib,DBMET02885,Acalabrutinib M5 Metabolite (ACP-5530),
3533,DB11703,1,DB11703,Acalabrutinib,DBMET02888,Acalabrutinib M25 Metabolite,
